pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
28,2,1,2,1,2,25,22,17,13,3,4
36,1,1,1,2,5,23,19,29,25,4,4
55,1,1,2,1,3,27,22,30,25,5,5
72,2,1,2,2,5,27,19,29,24,8,5
80,1,1,2,2,4,17,14,21,20,3,1
83,2,1,2,2,4,26,24,26,25,2,1
106,1,1,2,2,4,22,22,26,22,0,4
155,2,1,1,1,7,27,23,19,15,4,4
183,2,1,1,1,2,19,17,18,17,2,1
192,1,1,1,2,4,30,29,35,30,1,5
214,1,1,1,1,1,14,14,14,14,0,0
263,1,1,1,1,4,17,14,23,22,3,1
329,1,1,1,1,2,12,9,17,17,3,0
348,2,1,1,1,3,23,22,28,28,1,0
388,1,1,1,2,4,18,15,19,14,3,5
418,2,1,2,2,4,26,23,26,22,3,4
420,2,1,2,2,2,27,25,32,28,2,4
446,1,1,1,1,2,18,10,20,17,8,3
454,2,1,2,1,1,20,16,20,16,4,4
493,1,1,1,1,2,16,15,16,11,1,5
498,2,1,2,2, ,21,18,17,14,3,3
499,1,1,1,1,4,16,15,32,29,1,3
508,2,1,1,2, ,15,15,16,14,0,2
522,2,1,2,2,7,19,19,21,20,0,1
526,2,1,1, ,2,19,9,23,13,10,10
529,1,1,1,1,2,22,15,17,13,7,4
530,1,1,1,1,2,23,18,28,24,5,4
573,2,1,1,2,6,22,20,21,15,2,6
621,2,1,1,1,1,14,14,20,16,0,4
650,1,1,2,2,4,23,18,20,19,5,1
725,2,1,1,1,1,24,21,24,19,3,5
771,1,1,1,1,2,18,13,17,16,5,1
787,1,1,1,1,2,20,16,17,17,4,0
811,2,1,1,2,2,16,15,22,19,1,3
829,1,1,1,1,1,14,13,28,14,1,14
857,1,1,1,2,4,18,15,24,20,3,4
892,2,1,2,2,4,23,21,28,26,2,2
893,2,1,1,2,3,24,22,21,19,2,2
944,1,1,2,2,4,26,22,25,22,4,3
958,2,1,2,2, ,20,19,26,25,1,1
1007,1,1,1,1,2,25,23,29,28,2,1
1013,2,1,1,1,4,20,17,20,19,3,1
1023,2,1,1,1,1,27,21,22,21,6,1
1026,2,1,1,1,1,8,3,10,10,5,0
1043,2,1,2,2,7,20,20,18,14,0,4
1079,2,1,2,1,4,22,19,17,16,3,1
1092,1,1,1,2,4,27,25,24,22,2,2
1131,1,1,2,2,3,24,21,33,27,3,6
1179,1,1, , , ,19,15,22,20,4,2
1186,1,1,2,2,7,24,22,30,22,2,8
1192,1,1,1,1,1,21,19,26,22,2,4
1206,1,1,1,1,1,26,23,29,23,3,6
1237,2,1,1,1,2,21,16,19,12,5,7
1247,2,1,1,2,7,19,17,28,21,2,7
1253,2,1,2,2,4,19,17,23,19,2,4
1274,1,1,1,2,3,19,16,31,28,3,3
1290,2,1,1,1,2,17,16,19,18,1,1
1337,2,1,2,2,3,17,15,20,18,2,2
1357,1,1,1,1,3,12,8,18,13,4,5
1394,2,1, , ,2,29,29,33,31,0,2
1405,1,1,1,2,3,15,9,21,20,6,1
1466,2,1,1,2,3,27,24,26,26,3,0
1503,1,1,1,2,4,18,16,23,22,2,1
61,2,2,1,2,3,27,23,26,22,4,4
220,1,2,2,2,4,26,21,33,27,5,6
327,2,2,1,1,4,17,13,18,17,4,1
453,1,2,2,1,1,21,19,33,32,2,1
523,2,2,1,1,3,24,13,18,14,11,4
555,1,2,2,2,4,19,18,21,19,1,2
574,2,2,1,1,2,17,16,14,11,1,3
667,1,2,2,1,4,17,11,21,19,6,2
713,2,2,1,2,7,22,18,24,20,4,4
715,2,2,1, ,2,22,16,25,21,6,4
723,2,2,1,2,2,20,18,25,24,2,1
823,2,2,1,2,5,26,22,24,17,4,7
870,2,2,2,1,2,22,17,21,18,5,3
890,2,2,1,2,2,20,17,24,24,3,0
973,1,2,1,1,4,18,15,20,16,3,4
1189,2,2,1,1,1,18,11,19,12,7,7
1287,2,2,2,2,6,22,19,22,19,3,3
1306,1,2,2,1,1,17,13,19,16,4,3
1339,1,2,1,1,2,22,22,22,20,0,2
1393,1,2,1,1,2,25,23,26,12,2,14
1501,1,2,1,1,1,20,15,22,21,5,1
