pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
50,2,1,1,1,3,22,21,14,7,1,7
55,1,1,2,1,3,27,22,30,25,5,5
59,2,1,1,1,3,14,14,14,13,0,1
63,2,1,2,1,1,24,20,25,20,4,5
96,2,1,2,2,4,23,23,21,20,0,1
116,1,1,1,1,1,15,15,14,14,0,0
145,2,1,1,1,3,24,23,19,19,1,0
203,2,1,1,1,2,24,22,25,23,2,2
216,1,1,1,1,1,16,16,23,20,0,3
218,2,1,2,2,7,16,15,16,14,1,2
226,1,1,1,1,2,22,19,31,31,3,0
281,1,1,2,1,4,24,20,25,24,4,1
288,2,1,2,2,3,26,22,22,17,4,5
345,1,1,2,2,4,22,19,32,22,3,10
348,2,1,1,1,3,23,22,28,28,1,0
386,2,1,2,2,6,21,18,22,18,3,4
427,2,1,2,2,6,20,20,25,25,0,0
433,2,1,2,2,5,27,21,22,22,6,0
462,2,1,1,1,3,19,18,20,11,1,9
508,2,1,1,2, ,15,15,16,14,0,2
519,1,1,1,1,1,17,12,17,6,5,11
522,2,1,2,2,7,19,19,21,20,0,1
582,2,1,1,1,3,21,19,20,13,2,7
677,2,1,1,1,5,13,11,21,20,2,1
688,2,1,2,2,4,20,19,18,15,1,3
701,1,1,1,1,5,24,21,33,31,3,2
707,1,1,2,2,3,25,21,32,29,4,3
751,1,1, , , ,21,21,29,22,0,7
754,2,1,1,1,2,20,20,16,13,0,3
785,1,1,1,2,3,24,21,28,24,3,4
800,2,1,2,2,4,24,21,23,23,3,0
801,2,1,1,2,3,26,24,25,17,2,8
837,2,1,1,1,3,21,18,18,17,3,1
905,2,1,1,1,5,22,20,28,22,2,6
911,2,1,2,2,5,24,23,29,26,1,3
944,1,1,2,2,4,26,22,25,22,4,3
952,1,1,1,1, ,14,11,20,18,3,2
975,1,1,2,1,3,25,23,23,22,2,1
1003,2,1,2,2,6,27,27,32,27,0,5
1096,2,1,1,2,4,20,17,29,23,3,6
1109,1,1,1,1,1,18,17,13,11,1,2
1119,2,1,1,1,5,18,17,14,14,1,0
1241,2,1,1,1,3,17,16,20,19,1,1
1247,2,1,1,2,7,19,17,28,21,2,7
1254,1,1,1,1,2,16,15,22,18,1,4
1337,2,1,2,2,3,17,15,20,18,2,2
1357,1,1,1,1,3,12,8,18,13,4,5
1366,1,1,2,1,2,14,13,23,22,1,1
1367,1,1,1,1,2,22,18,24,24,4,0
1374,1,1,2,2,5,23,21,32,27,2,5
1432,2,1,1,1,2,17,15,19,14,2,5
1439,2,1,2,2,7,22,19,29,23,3,6
1442,1,1,1,2,4,24,20,30,22,4,8
1503,1,1,1,2,4,18,16,23,22,2,1
27,2,2,2,1,3,16,8,15,7,8,8
79,1,2,1,2,4,23,18,32,11,5,21
109,1,2,2,2,7,28,27,34,34,1,0
173,1,2,2,1,2,25,20,23,12,5,11
206,1,2,2,1,4,19,18,20,17,1,3
228,2,2,2,2,4,26,24,27,24,2,3
271,2,2,1,1,2,17,13,17,11,4,6
406,2,2,1,1,2,22,22,29,19,0,10
437,1,2,2,1,2,26,23,25,20,3,5
450,2,2,2,2, ,26,21,28,20,5,8
451,2,2,1,1, ,26,22,25,21,4,4
455,1,2,1,1,3,6,5,11,8,1,3
478,2,2,1,1,3,23,13,20,10,10,10
517,1,2,2,2,2,16,9,19,8,7,11
524,1,2,1,2,1,19,18,20,17,1,3
553,1,2,1,1,3,25,20,29,24,5,5
656,1,2,2,2,3,24,23,32,30,1,2
848,1,2,1,1,2,21,16,20,13,5,7
858,2,2,1,1,3,26,24,28,25,2,3
867,1,2,1,2,2,13,13,20,12,0,8
877,2,2,1,1,3,21,19,21,18,2,3
917,1,2,2,2,3,19,19,24,23,0,1
1044,2,2,1,1,3,20,11,26,12,9,14
1057,1,2,2,2,4,20,19,23,20,1,3
1071,1,2,2,2,5,14,11,26,24,3,2
1128,1,2,2,2,4,23,22,28,22,1,6
1137,1,2,1,2,1,13,9,20,18,4,2
1304,1,2,1,2,2,15,13,18,16,2,2
1341,1,2,2,2,5,22,19,25,25,3,0
1393,1,2,1,1,2,25,23,26,12,2,14
1507,1,2,2,2, ,25,21,29,22,4,7
