pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
50,2,1,1,1,3,22,21,14,7,1,7
55,1,1,2,1,3,27,22,30,25,5,5
157,1,1,2,2,7,30,30,34,34,0,0
182,2,1,2,1,4,22,20,22,20,2,2
224,2,1,2,2,7,30,30,26,25,0,1
231,2,1,1,2, ,14,14,20,15,0,5
291,2,1,1,2,3,19,17,20,19,2,1
330,2,1,2,2, ,20,17,13,11,3,2
342,2,1,2,2,3,20,17,20,19,3,1
348,2,1,1,1,3,23,22,28,28,1,0
386,2,1,2,2,6,21,18,22,18,3,4
388,1,1,1,2,4,18,15,19,14,3,5
402,2,1,1,1,3,22,19,26,23,3,3
412,2,1,2,2,6,26,22,31,30,4,1
418,2,1,2,2,4,26,23,26,22,3,4
425,1,1,1,2,3,19,14,22,21,5,1
577,2,1,1,1,3,22,21,22,20,1,2
600,2,1,1,1,4,22,18,22,19,4,3
652,1,1,1,1,3,17,15,31,23,2,8
718,2,1,1,1,1,22,22,14,8,0,6
751,1,1, , , ,21,21,29,22,0,7
754,2,1,1,1,2,20,20,16,13,0,3
885,2,1,1,1,2,20,13,23,23,7,0
892,2,1,2,2,4,23,21,28,26,2,2
894,2,1,2,2, ,25,21,18,18,4,0
937,2,1,1, ,1,25,23,28,21,2,7
957,1,1,1,1,4,20,19,30,30,1,0
1000,1,1,1,1,2,13,13,28,21,0,7
1020,2,1,2,2,5,23,22,25,22,1,3
1029,1,1,2,2,4,14,14,25,21,0,4
1120,1,1,1,2,4,20,18,22,22,2,0
1147,2,1,2,2,4,29,28,29,28,1,1
1194,1,1,2,2,4,17,16,20,17,1,3
1218,2,1,2,2,7,16,14,25,18,2,7
1357,1,1,1,1,3,12,8,18,13,4,5
1366,1,1,2,1,2,14,13,23,22,1,1
1455,2,1,2,2,4,24,20,23,21,4,2
1474,2,1,1, ,1,21,20,14,14,1,0
1503,1,1,1,2,4,18,16,23,22,2,1
10,1,2,2,2,3,15,15,23,13,0,10
92,1,2,1,2,4,20,18,24,17,2,7
171,2,2,1,2,6,21,20,25,18,1,7
371,1,2,1,2,3,20,17,25,19,3,6
385,1,2,1,2,4,27,23,32,29,4,3
411,2,2,1,2,7,19,15,23,20,4,3
432,2,2,2,2,3,17,13,14,12,4,2
479,2,2,1,1,2,20,19,25,18,1,7
480,2,2,2,2,4,17,6,26,16,11,10
544,1,2,1,1,2,22,19,25,24,3,1
614,2,2,1,1,1,18,18,20,12,0,8
693,2,2,1,1, ,17,14,25,19,3,6
774,2,2,2,1,7,17,11,19,18,6,1
783,1,2,1,2,2,28,23,32,31,5,1
789,1,2,1,1,2,17,12,17,16,5,1
844,2,2,1,2,7,20,20,28,26,0,2
867,1,2,1,2,2,13,13,20,12,0,8
973,1,2,1,1,4,18,15,20,16,3,4
991,2,2,1,2,3,23,18,27,22,5,5
992,1,2,1,2,4,18,16,20,18,2,2
1022,1,2,1,1,7,24,18,27,20,6,7
1028,2,2,1,1,3,19,12,16,11,7,5
1046,2,2,2,2,3,23,17,22,16,6,6
1065,1,2,2,2,5,26,23,35,32,3,3
1074,2,2,1,2,4,19,18,26,21,1,5
1114,2,2,1,2,2,18,11,20,10,7,10
1167,2,2,2,2,3,24,23,30,22,1,8
1175,2,2,2,2,2,17,15,20,17,2,3
1229,2,2,2,2,4,28,20,29,17,8,12
1339,1,2,1,1,2,22,22,22,20,0,2
1496,2,2,1,2,5,22,20,21,19,2,2
