pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
50,2,1,1,1,3,22,21,14,7,1,7
82,2,1,1,2,4,27,25,23,18,2,5
153,1,1,1,2,4,20,13,18,13,7,5
183,2,1,1,1,2,19,17,18,17,2,1
199,2,1,1,1,2,18,17,18,12,1,6
200,1,1,1,2,3,13,11,19,17,2,2
215,1,1,2,1,3,21,19,24,12,2,12
240,1,1,2,2,3,27,25,29,25,2,4
245,2,1,1,2,4,30,28,29,28,2,1
263,1,1,1,1,4,17,14,23,22,3,1
287,2,1,2,1,4,26,19,29,17,7,12
288,2,1,2,2,3,26,22,22,17,4,5
343,2,1,1,1,3,21,21,16,14,0,2
358,2,1,2,1,3,19,18,15,15,1,0
397,2,1,1,1,3,21,20,28,26,1,2
408,2,1,2,1,4,17,7,12,4,10,8
547,2,1,2,2,7,21,19,20,19,2,1
617,2,1,1,2,3,14,13,12,10,1,2
620,2,1,2,2,5,26,25,26,23,1,3
651,2,1,1,1,3,19,19,26,20,0,6
674,1,1,2,2,5,30,27,35,35,3,0
680,2,1,2,2,5,27,25,28,27,2,1
729,2,1,1,1,7,21,20,17,14,1,3
801,2,1,1,2,3,26,24,25,17,2,8
805,2,1,1,1,2,26,26,21,19,0,2
851,1,1,1,1,1,23,20,25,20,3,5
862,2,1,1,1,1,20,19,24,13,1,11
864,2,1,1,2,2,24,24,24,18,0,6
880,1,1, , , ,25,24,29,28,1,1
887,2,1,1,2,4,15,14,23,15,1,8
892,2,1,2,2,4,23,21,28,26,2,2
939,1,1,1,1,2,18,16,25,22,2,3
943,1,1,1,1,3,25,24,25,21,1,4
1003,2,1,2,2,6,27,27,32,27,0,5
1048,1,1,2,1,2,17,15,24,20,2,4
1054,1,1,2,1,3,20,7,20,12,13,8
1059,1,1,1,1,2,13,9,11,10,4,1
1120,1,1,1,2,4,20,18,22,22,2,0
1152,1,1,1,1,2,17,16,23,19,1,4
1166,1,1,1,2,3,21,20,33,31,1,2
1186,1,1,2,2,7,24,22,30,22,2,8
1191,2,1,1,1,4,17,12,31,20,5,11
1192,1,1,1,1,1,21,19,26,22,2,4
1260,2,1,1,1,1,19,16,18,17,3,1
1262,2,1,1,1,2,23,22,19,17,1,2
1266,2,1,1,1,2,24,23,23,13,1,10
1290,2,1,1,1,2,17,16,19,18,1,1
1323,1,1,1,1,4,26,24,27,23,2,4
1337,2,1,2,2,3,17,15,20,18,2,2
1350,1,1,2,2, ,17,14,26,25,3,1
1351,2,1,2,2,4,21,20,21,19,1,2
1434,1,1,1,1,1,18,17,20,16,1,4
1466,2,1,1,2,3,27,24,26,26,3,0
1485,1,1,2,2,1,21,21,30,29,0,1
92,1,2,1,2,4,20,18,24,17,2,7
270,2,2,1,1,2,21,17,13,7,4,6
271,2,2,1,1,2,17,13,17,11,4,6
377,2,2,1,1,1,23,20,13,7,3,6
385,1,2,1,2,4,27,23,32,29,4,3
393,2,2,2,2,4,19,19,16,14,0,2
411,2,2,1,2,7,19,15,23,20,4,3
428,2,2,1,2,2,27,25,33,31,2,2
456,2,2,1,1,2,20,16,20,16,4,4
553,1,2,1,1,3,25,20,29,24,5,5
555,1,2,2,2,4,19,18,21,19,1,2
569,2,2,1,1,3,19,17,20,16,2,4
637,1,2,2,2, ,22,19,23,19,3,4
727,2,2,2,2, ,20,18,25,15,2,10
789,1,2,1,1,2,17,12,17,16,5,1
816,1,2,1,1,2,12,12,27,17,0,10
854,1,2,2,1,2,27,27,31,30,0,1
879,2,2,2,2,2,22,17,25,20,5,5
912,1,2,2,2,4,23,22,30,25,1,5
918,1,2,2,2, ,26,23,31,30,3,1
935,2,2,2,2,4,27,25,32,25,2,7
963,2,2,1,1,4,24,23,31,15,1,16
1057,1,2,2,2,4,20,19,23,20,1,3
1114,2,2,1,2,2,18,11,20,10,7,10
1154,1,2,2,1,3,17,12,18,13,5,5
1164,1,2,1,1,4,15,9,20,17,6,3
1167,2,2,2,2,3,24,23,30,22,1,8
1245,2,2,2,2,5,25,22,28,19,3,9
1360,2,2,1,1,7,17,15,17,13,2,4
1387,2,2,1,2,3,21,20,26,22,1,4
1437,1,2,1,2,4,24,20,30,20,4,10
1486,2,2,1,2,2,26,24,19,14,2,5
