pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
29,1,1,2,2,4,21,18,17,14,3,3
63,2,1,2,1,1,24,20,25,20,4,5
67,1,1,1,1,4,19,17,33,23,2,10
68,1,1,1,1,1,26,25,30,23,1,7
82,2,1,1,2,4,27,25,23,18,2,5
96,2,1,2,2,4,23,23,21,20,0,1
103,2,1,2,2,4,20,14,11,11,6,0
107,2,1,2,2,5,25,25,26,20,0,6
133,2,1,2,2,3,17,16,13,12,1,1
348,2,1,1,1,3,23,22,28,28,1,0
446,1,1,1,1,2,18,10,20,17,8,3
508,2,1,1,2, ,15,15,16,14,0,2
647,2,1,1,1,1,9,7,13,12,2,1
651,2,1,1,1,3,19,19,26,20,0,6
718,2,1,1,1,1,22,22,14,8,0,6
732,2,1,1,2,1,25,21,23,19,4,4
832,1,1,1,2,3,20,19,24,23,1,1
850,1,1, , ,3,16,13,27,24,3,3
857,1,1,1,2,4,18,15,24,20,3,4
864,2,1,1,2,2,24,24,24,18,0,6
875,1,1,2,2,4,21,19,26,25,2,1
880,1,1, , , ,25,24,29,28,1,1
892,2,1,2,2,4,23,21,28,26,2,2
902,2,1,1,1,4,22,15,14,13,7,1
923,2,1,1,1,2,22,21,21,20,1,1
931,2,1,2,1,7,21,21,24,23,0,1
939,1,1,1,1,2,18,16,25,22,2,3
943,1,1,1,1,3,25,24,25,21,1,4
1026,2,1,1,1,1,8,3,10,10,5,0
1136,2,1,1,1,7,17,15,13,11,2,2
1160,2,1,1,1,3,20,17,22,20,3,2
1174,2,1,1,1,4,20,19,21,20,1,1
1184,1,1,1,1,1,18,15,18,16,3,2
1190,2,1,2,2, ,14,9,17,10,5,7
1206,1,1,1,1,1,26,23,29,23,3,6
1252,1,1,2,2,4,21,18,26,24,3,2
1316,2,1,2,2,2,15,13,14,14,2,0
1337,2,1,2,2,3,17,15,20,18,2,2
1365,2,1,1,2,5,24,22,27,24,2,3
1374,1,1,2,2,5,23,21,32,27,2,5
1375,2,1,1,2,2,20,18,20,20,2,0
1394,2,1, , ,2,29,29,33,31,0,2
1395,1,1,1,1,2,13,10,32,31,3,1
1402,2,1,2,1,3,23,22,17,17,1,0
1466,2,1,1,2,3,27,24,26,26,3,0
1470,2,1,1,1,1,13,13,12,10,0,2
1478,2,1,1,2,3,17,15,18,17,2,1
48,1,2,2,2,5,24,20,28,27,4,1
139,2,2,2,2,5,18,12,13,12,6,1
149,2,2,2,2,5,27,26,34,33,1,1
171,2,2,1,2,6,21,20,25,18,1,7
195,2,2,2,2,2,24,17,25,20,7,5
331,1,2,2,1, ,18,13,24,23,5,1
375,2,2,1,1, ,23,21,24,14,2,10
393,2,2,2,2,4,19,19,16,14,0,2
466,1,2,1,1,2,20,17,22,20,3,2
471,1,2,1,1,2,22,17,28,20,5,8
478,2,2,1,1,3,23,13,20,10,10,10
515,2,2,1,1,4,19,17,13,8,2,5
579,1,2,1,2,5,20,13,27,24,7,3
668,2,2, ,2,3,23,20,30,14,3,16
691,2,2,1,2,4,22,20,26,22,2,4
711,2,2, , , ,20,17,13,11,3,2
727,2,2,2,2, ,20,18,25,15,2,10
982,2,2,1,2,6,22,20,25,14,2,11
1065,1,2,2,2,5,26,23,35,32,3,3
1097,1,2,2,1,2,25,20,30,29,5,1
1114,2,2,1,2,2,18,11,20,10,7,10
1127,2,2,2,2,2,16,11,8,3,5,5
1193,2,2,2,2, ,16,11,14,12,5,2
1334,2,2,1,1,2,21,18,20,18,3,2
1383,1,2,2,2,7,21,20,28,21,1,7
1486,2,2,1,2,2,26,24,19,14,2,5
1493,1,2,2,2,3,15,9,25,8,6,17
