pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
26,2,1,1,2,4,22,21,24,23,1,1
63,2,1,2,1,1,24,20,25,20,4,5
83,2,1,2,2,4,26,24,26,25,2,1
182,2,1,2,1,4,22,20,22,20,2,2
185,2,1, , , ,24,24,28,25,0,3
198,1,1,1,1,4,17,16,22,20,1,2
212,2,1,2,2,4,24,22,29,24,2,5
308,2,1,2,1,5,29,27,32,19,2,13
338,1,1,2,2,1,27,27,34,24,0,10
342,2,1,2,2,3,20,17,20,19,3,1
388,1,1,1,2,4,18,15,19,14,3,5
425,1,1,1,2,3,19,14,22,21,5,1
433,2,1,2,2,5,27,21,22,22,6,0
447,1,1,2,1,3,16,13,18,14,3,4
498,2,1,2,2, ,21,18,17,14,3,3
620,2,1,2,2,5,26,25,26,23,1,3
647,2,1,1,1,1,9,7,13,12,2,1
650,1,1,2,2,4,23,18,20,19,5,1
677,2,1,1,1,5,13,11,21,20,2,1
696,2,1,2,1,2,14,14,22,20,0,2
732,2,1,1,2,1,25,21,23,19,4,4
820,1,1,1,1,4,12,9,15,13,3,2
825,1,1,2,2,6,25,22,34,32,3,2
916,1,1,1,1, ,13,9,14,10,4,4
930,2,1,2,1,4,14,10,13,11,4,2
938,1,1,1,1,1,22,20,23,21,2,2
984,1,1, , , ,18,14,28,22,4,6
1045,1,1,1,2,5,23,21,27,25,2,2
1054,1,1,2,1,3,20,7,20,12,13,8
1080,2,1,1, , ,21,21,21,17,0,4
1089,2,1,1,1,2,20,18,24,20,2,4
1092,1,1,1,2,4,27,25,24,22,2,2
1117,2,1,2,2,7,22,21,26,25,1,1
1146,2,1,2,1,3,23,21,22,15,2,7
1147,2,1,2,2,4,29,28,29,28,1,1
1194,1,1,2,2,4,17,16,20,17,1,3
1201,1,1,1,1,2,20,18,20,20,2,0
1232,2,1,1,1,2,23,23,18,18,0,0
1262,2,1,1,1,2,23,22,19,17,1,2
1274,1,1,1,2,3,19,16,31,28,3,3
1316,2,1,2,2,2,15,13,14,14,2,0
1371,2,1,1,2,2,23,20,15,13,3,2
1386,2,1,1,1,2,20,15,21,11,5,10
1470,2,1,1,1,1,13,13,12,10,0,2
84,2,2,1,1,6,19,19,24,11,0,13
89,2,2,1,1,4,19,12,17,17,7,0
124,1,2,1,1, ,17,13,14,14,4,0
140,2,2,2,2,4,21,20,21,20,1,1
175,2,2,2,2,4,25,24,27,21,1,6
228,2,2,2,2,4,26,24,27,24,2,3
268,2,2,1,1,1,20,18,18,17,2,1
271,2,2,1,1,2,17,13,17,11,4,6
335,1,2,1,1,3,19,17,28,25,2,3
371,1,2,1,2,3,20,17,25,19,3,6
396,1,2,2,2,6,26,23,33,26,3,7
471,1,2,1,1,2,22,17,28,20,5,8
475,2,2,2,1,2,20,19,20,20,1,0
518,2,2,1,1,2,25,20,14,10,5,4
541,1,2,2,2,4,25,24,31,20,1,11
581,2,2,2,2,5,23,18,23,15,5,8
588,2,2,1,1,1,19,17,24,18,2,6
592,2,2,2,2,7,28,26,31,25,2,6
623,2,2,2,2,4,26,22,32,29,4,3
672,2,2,1,1,1,14,9,6,6,5,0
741,1,2,1,1,3,21,17,20,17,4,3
766,1,2,1,2,3,18,18,29,29,0,0
774,2,2,2,1,7,17,11,19,18,6,1
920,1,2,1,2,4,16,12,25,22,4,3
973,1,2,1,1,4,18,15,20,16,3,4
987,1,2,2,2,6,23,20,32,10,3,22
1036,2,2,1,1,5,22,18,10,10,4,0
1037,2,2,2,1,4,22,19,16,8,3,8
1110,1,2,1,1,4,20,20,20,18,0,2
1122,2,2,2,2,4,24,23,30,25,1,5
1127,2,2,2,2,2,16,11,8,3,5,5
1167,2,2,2,2,3,24,23,30,22,1,8
1250,2,2,2,1,2,23,19,16,16,4,0
1354,1,2,1,1,4,13,7,20,13,6,7
1361,1,2,2,2,4,27,20,32,26,7,6
1486,2,2,1,2,2,26,24,19,14,2,5
1497,1,2,1,2,4,23,14,33,23,9,10
1499,2,2,1,2,3,12,9,14,13,3,1
1505,2,2,1,2,2,23,20,25,14,3,11
