pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
28,2,1,2,1,2,25,22,17,13,3,4
67,1,1,1,1,4,19,17,33,23,2,10
97,2,1,2,1,2,19,17,20,18,2,2
134,1,1,1,2,4,15,11,12,6,4,6
165,2,1,2,2,2,30,30,32,27,0,5
168,2,1,1,1,4,22,21,26,24,1,2
178,2,1,2,2,5,26,25,29,24,1,5
182,2,1,2,1,4,22,20,22,20,2,2
212,2,1,2,2,4,24,22,29,24,2,5
234,2,1,2,2,3,28,27,21,17,1,4
245,2,1,1,2,4,30,28,29,28,2,1
265,2,1,1,1,2,22,20,12,10,2,2
269,2,1,1,1,3,23,19,17,16,4,1
275,1,1,2,2,2,22,11,26,20,11,6
309,2,1,1,1,2,24,22,22,14,2,8
330,2,1,2,2, ,20,17,13,11,3,2
343,2,1,1,1,3,21,21,16,14,0,2
351,2,1,2,2,4,14,13,12,10,1,2
374,1,1,1,1,2,19,16,28,23,3,5
382,1,1,2,2,5,24,23,34,32,1,2
435,2,1,2,2,3,25,21,23,21,4,2
529,1,1,1,1,2,22,15,17,13,7,4
535,2,1,2,2,2,21,14,20,16,7,4
598,2,1,1,1,5,22,18,20,10,4,10
650,1,1,2,2,4,23,18,20,19,5,1
688,2,1,2,2,4,20,19,18,15,1,3
725,2,1,1,1,1,24,21,24,19,3,5
745,2,1,2,1,1,20,19,14,11,1,3
797,2,1,1,1,1,18,17,21,16,1,5
801,2,1,1,2,3,26,24,25,17,2,8
820,1,1,1,1,4,12,9,15,13,3,2
839,2,1,2,2,3,25,25,22,19,0,3
891,1,1,1,2,3,17,13,18,15,4,3
893,2,1,1,2,3,24,22,21,19,2,2
904,2,1,2,2,1,27,26,30,27,1,3
941,2,1,1,1,1,20,16,21,12,4,9
958,2,1,2,2, ,20,19,26,25,1,1
965,2,1,1,1,3,23,20,22,20,3,2
975,1,1,2,1,3,25,23,23,22,2,1
1005,2,1,1,1,1,16,16,21,8,0,13
1023,2,1,1,1,1,27,21,22,21,6,1
1030,2,1,1,1, ,21,19,23,18,2,5
1043,2,1,2,2,7,20,20,18,14,0,4
1048,1,1,2,1,2,17,15,24,20,2,4
1085,1,1,1,2,2,18,17,19,13,1,6
1089,2,1,1,1,2,20,18,24,20,2,4
1140,2,1,2,2,5,20,17,23,20,3,3
1186,1,1,2,2,7,24,22,30,22,2,8
1213,2,1,1,2,2,17,14,11,10,3,1
1216,1,1,1,2,5,24,17,24,20,7,4
1247,2,1,1,2,7,19,17,28,21,2,7
1288,2,1,1,1,2,16,11,12,7,5,5
1310,2,1,1,1,2,17,16,20,7,1,13
1323,1,1,1,1,4,26,24,27,23,2,4
1330,1,1,2,2,4,22,21,27,22,1,5
1353,1,1,2,2,5,26,24,32,30,2,2
1357,1,1,1,1,3,12,8,18,13,4,5
1366,1,1,2,1,2,14,13,23,22,1,1
1414,2,1,1,1,2,22,17,17,17,5,0
1426,2,1,1,1,2,18,17,14,13,1,1
61,2,2,1,2,3,27,23,26,22,4,4
108,1,2,2,2,4,23,18,27,21,5,6
124,1,2,1,1, ,17,13,14,14,4,0
175,2,2,2,2,4,25,24,27,21,1,6
220,1,2,2,2,4,26,21,33,27,5,6
268,2,2,1,1,1,20,18,18,17,2,1
385,1,2,1,2,4,27,23,32,29,4,3
455,1,2,1,1,3,6,5,11,8,1,3
484,2,2,2,2,3,22,16,26,24,6,2
509,2,2,1,1,5,18,15,18,11,3,7
557,2,2,2,2, ,27,21,34,20,6,14
623,2,2,2,2,4,26,22,32,29,4,3
626,1,2,2,2,5,24,23,29,25,1,4
631,2,2,1,1,2,21,16,22,16,5,6
636,2,2,2,1,1,23,19,22,14,4,8
740,2,2,1,1, ,21,15,17,13,6,4
741,1,2,1,1,3,21,17,20,17,4,3
775,2,2,2,2,1,24,21,14,12,3,2
806,2,2,1,2, ,25,22,32,30,3,2
823,2,2,1,2,5,26,22,24,17,4,7
854,1,2,2,1,2,27,27,31,30,0,1
861,1,2,2,1,2,23,22,27,26,1,1
914,1,2,1,1,3,16,15,24,22,1,2
993,2,2,1,1, ,20,18,22,20,2,2
1022,1,2,1,1,7,24,18,27,20,6,7
1107,1,2,1,2,2,24,20,24,20,4,4
1110,1,2,1,1,4,20,20,20,18,0,2
1143,1,2,2,2,3,27,21,29,19,6,10
1164,1,2,1,1,4,15,9,20,17,6,3
1261,2,2,2,1,3,25,21,20,20,4,0
1268,1,2,2,2,7,26,25,31,30,1,1
1275,2,2,1,2,2,24,22,32,24,2,8
1361,1,2,2,2,4,27,20,32,26,7,6
1437,1,2,1,2,4,24,20,30,20,4,10
1493,1,2,2,2,3,15,9,25,8,6,17
