pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
4,2,1,1,1,1,20,17,20,19,3,1
20,1,1,1,1,2,16,7,18,15,9,3
35,2,1,1,2,2,23,18,20,19,5,1
37,2,1,1,1,1,14,13,14,12,1,2
80,1,1,2,2,4,17,14,21,20,3,1
90,2,1,1,1,1,13,11,20,14,2,6
114,1,1,1,1,1,18,14,21,20,4,1
168,2,1,1,1,4,22,21,26,24,1,2
178,2,1,2,2,5,26,25,29,24,1,5
192,1,1,1,2,4,30,29,35,30,1,5
212,2,1,2,2,4,24,22,29,24,2,5
275,1,1,2,2,2,22,11,26,20,11,6
317,2,1,1,1,4,24,22,22,20,2,2
321,2,1,1,1,2,21,21,26,15,0,11
323,1,1,1,2,4,26,24,34,32,2,2
343,2,1,1,1,3,21,21,16,14,0,2
412,2,1,2,2,6,26,22,31,30,4,1
447,1,1,2,1,3,16,13,18,14,3,4
449,2,1,1,2,3,25,22,21,16,3,5
472,1,1,2,2,5,27,25,32,32,2,0
493,1,1,1,1,2,16,15,16,11,1,5
625,2,1,1,2,1,18,15,16,13,3,3
673,1,1,1,2,3,16,13,27,21,3,6
680,2,1,2,2,5,27,25,28,27,2,1
688,2,1,2,2,4,20,19,18,15,1,3
705,1,1,1,1,2,23,15,31,21,8,10
721,1,1,1,2,2,15,12,15,14,3,1
800,2,1,2,2,4,24,21,23,23,3,0
891,1,1,1,2,3,17,13,18,15,4,3
943,1,1,1,1,3,25,24,25,21,1,4
957,1,1,1,1,4,20,19,30,30,1,0
1013,2,1,1,1,4,20,17,20,19,3,1
1023,2,1,1,1,1,27,21,22,21,6,1
1056,2,1,2,2,7,25,25,33,27,0,6
1109,1,1,1,1,1,18,17,13,11,1,2
1169,1,1,2,1,2,20,18,27,25,2,2
1179,1,1, , , ,19,15,22,20,4,2
1232,2,1,1,1,2,23,23,18,18,0,0
1371,2,1,1,2,2,23,20,15,13,3,2
1395,1,1,1,1,2,13,10,32,31,3,1
1405,1,1,1,2,3,15,9,21,20,6,1
1445,1,1,2,2,4,6,5,13,12,1,1
1460,1,1,1,1,4,18,15,25,22,3,3
1466,2,1,1,2,3,27,24,26,26,3,0
1491,1,1,1,1,3,24,22,30,25,2,5
30,2,2,2,1,2,24,22,21,20,2,1
48,1,2,2,2,5,24,20,28,27,4,1
79,1,2,1,2,4,23,18,32,11,5,21
89,2,2,1,1,4,19,12,17,17,7,0
335,1,2,1,1,3,19,17,28,25,2,3
450,2,2,2,2, ,26,21,28,20,5,8
461,2,2,1,1,2,18,18,17,13,0,4
475,2,2,2,1,2,20,19,20,20,1,0
517,1,2,2,2,2,16,9,19,8,7,11
524,1,2,1,2,1,19,18,20,17,1,3
541,1,2,2,2,4,25,24,31,20,1,11
544,1,2,1,1,2,22,19,25,24,3,1
575,1,2,2,2,5,23,22,33,26,1,7
614,2,2,1,1,1,18,18,20,12,0,8
656,1,2,2,2,3,24,23,32,30,1,2
668,2,2, ,2,3,23,20,30,14,3,16
678,1,2,1,1,1,18,13,13,8,5,5
752,1,2,2,2,4,22,21,31,21,1,10
774,2,2,2,1,7,17,11,19,18,6,1
844,2,2,1,2,7,20,20,28,26,0,2
870,2,2,2,1,2,22,17,21,18,5,3
1078,2,2,2,1,5,20,19,23,13,1,10
1108,2,2,1,1,3,21,12,16,14,9,2
1148,2,2,2,2,3,19,18,21,18,1,3
1167,2,2,2,2,3,24,23,30,22,1,8
1306,1,2,2,1,1,17,13,19,16,4,3
1361,1,2,2,2,4,27,20,32,26,7,6
1370,1,2,1,1,2,26,25,25,24,1,1
1383,1,2,2,2,7,21,20,28,21,1,7
1424,2,2,2,2,4,27,25,20,19,2,1
1429,2,2,2,2,4,16,12,19,17,4,2
1500,1,2,1,2,2,23,17,29,24,6,5
