pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
5,2,1,1,1,1,16,11,13,8,5,5
29,1,1,2,2,4,21,18,17,14,3,3
74,1,1,2,1,2,19,14,29,25,5,4
78,2,1,2,2,4,27,25,31,25,2,6
134,1,1,1,2,4,15,11,12,6,4,6
142,1,1,2,2,2,16,15,25,18,1,7
185,2,1, , , ,24,24,28,25,0,3
192,1,1,1,2,4,30,29,35,30,1,5
231,2,1,1,2, ,14,14,20,15,0,5
248,1,1,1,2,5,25,23,31,30,2,1
397,2,1,1,1,3,21,20,28,26,1,2
416,2,1,2,2,7,16,14,14,10,2,4
444,1,1,2,2,3,19,17,27,23,2,4
508,2,1,1,2, ,15,15,16,14,0,2
655,2,1,2,2,3,24,18,11,10,6,1
677,2,1,1,1,5,13,11,21,20,2,1
680,2,1,2,2,5,27,25,28,27,2,1
718,2,1,1,1,1,22,22,14,8,0,6
751,1,1, , , ,21,21,29,22,0,7
754,2,1,1,1,2,20,20,16,13,0,3
787,1,1,1,1,2,20,16,17,17,4,0
864,2,1,1,2,2,24,24,24,18,0,6
892,2,1,2,2,4,23,21,28,26,2,2
904,2,1,2,2,1,27,26,30,27,1,3
931,2,1,2,1,7,21,21,24,23,0,1
958,2,1,2,2, ,20,19,26,25,1,1
968,2,1,2,2,7,22,20,22,21,2,1
1002,1,1,1,1,4,26,21,33,27,5,6
1120,1,1,1,2,4,20,18,22,22,2,0
1159,2,1,2,2,3,15,10,8,8,5,0
1160,2,1,1,1,3,20,17,22,20,3,2
1191,2,1,1,1,4,17,12,31,20,5,11
1209,1,1,1,2,4,16,14,19,18,2,1
1218,2,1,2,2,7,16,14,25,18,2,7
1242,1,1,2,2,4,14,13,27,23,1,4
1254,1,1,1,1,2,16,15,22,18,1,4
1302,2,1, , , ,22,21,25,22,1,3
1325,1,1,2,2,2,23,17,25,25,6,0
1326,2,1,1,2, ,24,21,22,18,3,4
1394,2,1, , ,2,29,29,33,31,0,2
1395,1,1,1,1,2,13,10,32,31,3,1
1445,1,1,2,2,4,6,5,13,12,1,1
108,1,2,2,2,4,23,18,27,21,5,6
207,2,2,1,2,3,28,26,28,25,2,3
250,2,2,2,2,4,18,15,18,18,3,0
262,2,2,2,2,5,25,21,32,18,4,14
271,2,2,1,1,2,17,13,17,11,4,6
316,1,2,1,1,2,20,15,29,14,5,15
327,2,2,1,1,4,17,13,18,17,4,1
385,1,2,1,2,4,27,23,32,29,4,3
393,2,2,2,2,4,19,19,16,14,0,2
417,1,2,2,1,1,25,25,28,28,0,0
442,2,2,1,1,3,22,21,17,10,1,7
453,1,2,2,1,1,21,19,33,32,2,1
579,1,2,1,2,5,20,13,27,24,7,3
629,1,2,2,2,3,24,24,28,25,0,3
631,2,2,1,1,2,21,16,22,16,5,6
678,1,2,1,1,1,18,13,13,8,5,5
723,2,2,1,2,2,20,18,25,24,2,1
741,1,2,1,1,3,21,17,20,17,4,3
759,2,2,1,1,4,17,15,26,12,2,14
780,2,2,2,1,2,25,19,28,21,6,7
822,2,2,2,2,2,15,14,24,15,1,9
917,1,2,2,2,3,19,19,24,23,0,1
992,1,2,1,2,4,18,16,20,18,2,2
1044,2,2,1,1,3,20,11,26,12,9,14
1099,2,2,1,1,2,24,21,23,17,3,6
1172,1,2,1,1,4,17,14,24,22,3,2
1175,2,2,2,2,2,17,15,20,17,2,3
1334,2,2,1,1,2,21,18,20,18,3,2
1359,1,2,2,2,4,24,19,31,28,5,3
1388,2,2,2,2,2,27,21,20,14,6,6
1404,2,2,2,2, ,22,20,18,14,2,4
1495,1,2,2,1,2,24,24,28,20,0,8
