pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
1,2,1,1,2,2,14,11,14,13,3,1
42,1,1,2,2,1,24,23,23,11,1,12
49,2,1,1,2,2,27,24,30,30,3,0
55,1,1,2,1,3,27,22,30,25,5,5
88,2,1,1,2,7,25,25,20,19,0,1
90,2,1,1,1,1,13,11,20,14,2,6
110,2,1,1,2,1,26,25,24,24,1,0
151,2,1,1,1,4,24,20,20,20,4,0
164,2,1,2,2,4,22,19,29,25,3,4
185,2,1, , , ,24,24,28,25,0,3
199,2,1,1,1,2,18,17,18,12,1,6
212,2,1,2,2,4,24,22,29,24,2,5
234,2,1,2,2,3,28,27,21,17,1,4
238,2,1,2,1,3,26,26,28,28,0,0
244,2,1,1,1,4,31,28,34,29,3,5
269,2,1,1,1,3,23,19,17,16,4,1
308,2,1,2,1,5,29,27,32,19,2,13
329,1,1,1,1,2,12,9,17,17,3,0
336,2,1,2,2,3,22,21,30,28,1,2
358,2,1,2,1,3,19,18,15,15,1,0
382,1,1,2,2,5,24,23,34,32,1,2
446,1,1,1,1,2,18,10,20,17,8,3
474,1,1,2,2,4,18,15,29,23,3,6
494,1,1,1,1,1,21,20,21,20,1,1
547,2,1,2,2,7,21,19,20,19,2,1
666,2,1,2,2,3,16,13,10,10,3,0
704,1,1,1,1,1,19,18,25,21,1,4
718,2,1,1,1,1,22,22,14,8,0,6
725,2,1,1,1,1,24,21,24,19,3,5
729,2,1,1,1,7,21,20,17,14,1,3
754,2,1,1,1,2,20,20,16,13,0,3
832,1,1,1,2,3,20,19,24,23,1,1
850,1,1, , ,3,16,13,27,24,3,3
864,2,1,1,2,2,24,24,24,18,0,6
891,1,1,1,2,3,17,13,18,15,4,3
922,1,1,1,2,4,20,20,32,30,0,2
1005,2,1,1,1,1,16,16,21,8,0,13
1007,1,1,1,1,2,25,23,29,28,2,1
1136,2,1,1,1,7,17,15,13,11,2,2
1146,2,1,2,1,3,23,21,22,15,2,7
1192,1,1,1,1,1,21,19,26,22,2,4
1242,1,1,2,2,4,14,13,27,23,1,4
1253,2,1,2,2,4,19,17,23,19,2,4
1256,1,1,1,1,1,14,6,18,14,8,4
1276,2,1,1,1,1,30,28,30,27,2,3
1288,2,1,1,1,2,16,11,12,7,5,5
1310,2,1,1,1,2,17,16,20,7,1,13
1378,2,1,1,2,4,21,19,20,17,2,3
1382,2,1,1,1, ,24,22,23,22,2,1
1402,2,1,2,1,3,23,22,17,17,1,0
1445,1,1,2,2,4,6,5,13,12,1,1
1453,1,1,2,1,4,27,26,25,22,1,3
1478,2,1,1,2,3,17,15,18,17,2,1
1484,2,1,2,1,5,26,22,24,23,4,1
102,2,2,1,2,6,28,24,27,22,4,5
171,2,2,1,2,6,21,20,25,18,1,7
195,2,2,2,2,2,24,17,25,20,7,5
243,2,2,2,2,7,19,15,20,19,4,1
271,2,2,1,1,2,17,13,17,11,4,6
295,2,2,1,1,3,26,12,24,4,14,20
324,2,2,2,2,5,28,26,20,19,2,1
335,1,2,1,1,3,19,17,28,25,2,3
385,1,2,1,2,4,27,23,32,29,4,3
430,1,2,1,1,3,25,23,25,22,2,3
437,1,2,2,1,2,26,23,25,20,3,5
557,2,2,2,2, ,27,21,34,20,6,14
569,2,2,1,1,3,19,17,20,16,2,4
610,2,2,1,2,4,27,17,35,29,10,6
637,1,2,2,2, ,22,19,23,19,3,4
643,1,2,1,2,5,21,21,20,19,0,1
654,2,2,1, , ,21,18,22,10,3,12
661,2,2,1,1,2,22,17,25,21,5,4
667,1,2,2,1,4,17,11,21,19,6,2
689,2,2,1,1,1,28,17,22,18,11,4
727,2,2,2,2, ,20,18,25,15,2,10
741,1,2,1,1,3,21,17,20,17,4,3
775,2,2,2,2,1,24,21,14,12,3,2
783,1,2,1,2,2,28,23,32,31,5,1
830,2,2,1,1,3,20,17,20,19,3,1
847,1,2,1,1,2,24,20,29,26,4,3
870,2,2,2,1,2,22,17,21,18,5,3
889,1,2,2,2,5,20,20,29,29,0,0
953,1,2,2,2,7,27,25,35,31,2,4
1011,1,2,2,1,2,24,20,30,21,4,9
1046,2,2,2,2,3,23,17,22,16,6,6
1108,2,2,1,1,3,21,12,16,14,9,2
1245,2,2,2,2,5,25,22,28,19,3,9
1268,1,2,2,2,7,26,25,31,30,1,1
1306,1,2,2,1,1,17,13,19,16,4,3
1339,1,2,1,1,2,22,22,22,20,0,2
1440,2,2,1,1,1,17,17,11,10,0,1
1493,1,2,2,2,3,15,9,25,8,6,17
