pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
19,1,1,1,1,2,19,19,22,19,0,3
35,2,1,1,2,2,23,18,20,19,5,1
80,1,1,2,2,4,17,14,21,20,3,1
142,1,1,2,2,2,16,15,25,18,1,7
157,1,1,2,2,7,30,30,34,34,0,0
164,2,1,2,2,4,22,19,29,25,3,4
304,2,1,1,1,2,25,25,25,22,0,3
365,2,1,2,2,4,21,16,16,14,5,2
392,2,1,1,1,2,21,17,12,12,4,0
423,2,1,2,1,7,17,17,18,14,0,4
446,1,1,1,1,2,18,10,20,17,8,3
454,2,1,2,1,1,20,16,20,16,4,4
487,2,1,1,2,2,25,22,23,17,3,6
490,1,1,2,2, ,13,9,13,12,4,1
499,1,1,1,1,4,16,15,32,29,1,3
532,2,1,2,2,5,11,7,11,8,4,3
576,1,1,2,2,4,19,15,18,18,4,0
599,1,1,1,1,2,18,18,33,32,0,1
627,2,1,1,2,2,19,18,21,20,1,1
721,1,1,1,2,2,15,12,15,14,3,1
725,2,1,1,1,1,24,21,24,19,3,5
732,2,1,1,2,1,25,21,23,19,4,4
819,1,1,2,2,3,30,29,35,34,1,1
831,2,1,1,1,2,21,19,18,10,2,8
850,1,1, , ,3,16,13,27,24,3,3
883,2,1,2,2,3,22,17,22,21,5,1
892,2,1,2,2,4,23,21,28,26,2,2
897,2,1,2,2,5,28,24,33,21,4,12
902,2,1,1,1,4,22,15,14,13,7,1
971,2,1,2,2,4,21,12,21,19,9,2
1000,1,1,1,1,2,13,13,28,21,0,7
1002,1,1,1,1,4,26,21,33,27,5,6
1003,2,1,2,2,6,27,27,32,27,0,5
1013,2,1,1,1,4,20,17,20,19,3,1
1017,2,1,2,2,4,19,16,24,22,3,2
1051,2,1,1,1,3,22,22,27,18,0,9
1112,2,1,1,2,2,23,23,20,13,0,7
1125,2,1,1,1,3,18,18,10,6,0,4
1230,2,1,2,2,6,26,23,24,20,3,4
1266,2,1,1,1,2,24,23,23,13,1,10
1267,1,1,2,1,2,19,17,27,26,2,1
1272,2,1,1,2,2,21,19,20,18,2,2
1326,2,1,1,2, ,24,21,22,18,3,4
1350,1,1,2,2, ,17,14,26,25,3,1
1382,2,1,1,1, ,24,22,23,22,2,1
1386,2,1,1,1,2,20,15,21,11,5,10
1430,2,1,1,1,2,26,23,14,12,3,2
1432,2,1,1,1,2,17,15,19,14,2,5
1460,1,1,1,1,4,18,15,25,22,3,3
1485,1,1,2,2,1,21,21,30,29,0,1
10,1,2,2,2,3,15,15,23,13,0,10
61,2,2,1,2,3,27,23,26,22,4,4
84,2,2,1,1,6,19,19,24,11,0,13
109,1,2,2,2,7,28,27,34,34,1,0
166,2,2,2,2,5,23,21,20,18,2,2
295,2,2,1,1,3,26,12,24,4,14,20
312,2,2,1,1,1,27,25,20,20,2,0
327,2,2,1,1,4,17,13,18,17,4,1
380,2,2,1,2,3,30,24,21,19,6,2
394,2,2,2,2,5,25,24,20,11,1,9
417,1,2,2,1,1,25,25,28,28,0,0
421,2,2,1,2,2,17,16,13,5,1,8
453,1,2,2,1,1,21,19,33,32,2,1
456,2,2,1,1,2,20,16,20,16,4,4
461,2,2,1,1,2,18,18,17,13,0,4
475,2,2,2,1,2,20,19,20,20,1,0
484,2,2,2,2,3,22,16,26,24,6,2
509,2,2,1,1,5,18,15,18,11,3,7
524,1,2,1,2,1,19,18,20,17,1,3
583,1,2,1,1,1,18,17,23,21,1,2
658,1,2,1,1,4,21,15,28,13,6,15
685,2,2,2,2,1,19,14,30,15,5,15
715,2,2,1, ,2,22,16,25,21,6,4
759,2,2,1,1,4,17,15,26,12,2,14
764,2,2,1,1,1,13,11,17,11,2,6
809,2,2,1,2,4,29,26,25,19,3,6
830,2,2,1,1,3,20,17,20,19,3,1
844,2,2,1,2,7,20,20,28,26,0,2
863,2,2,2,2,3,29,27,26,24,2,2
982,2,2,1,2,6,22,20,25,14,2,11
1123,1,2,2,2,4,22,22,26,23,0,3
1144,2,2,2,1,2,28,19,25,21,9,4
1172,1,2,1,1,4,17,14,24,22,3,2
1173,2,2,1,1,2,21,19,18,17,2,1
1183,1,2, ,2, ,22,20,29,19,2,10
1281,2,2,2,2,7,29,28,28,25,1,3
1397,2,2,1,1,2,27,21,25,23,6,2
1481,2,2,1,1,1,20,16,16,13,4,3
1501,1,2,1,1,1,20,15,22,21,5,1
