pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
4,2,1,1,1,1,20,17,20,19,3,1
16,1,1,2,2,5,28,27,31,28,1,3
72,2,1,2,2,5,27,19,29,24,8,5
114,1,1,1,1,1,18,14,21,20,4,1
116,1,1,1,1,1,15,15,14,14,0,0
154,2,1,1,1,2,21,15,28,20,6,8
160,1,1,2,2,4,24,21,27,11,3,16
198,1,1,1,1,4,17,16,22,20,1,2
240,1,1,2,2,3,27,25,29,25,2,4
323,1,1,1,2,4,26,24,34,32,2,2
340,1,1,1,1,2,16,11,18,17,5,1
345,1,1,2,2,4,22,19,32,22,3,10
348,2,1,1,1,3,23,22,28,28,1,0
408,2,1,2,1,4,17,7,12,4,10,8
425,1,1,1,2,3,19,14,22,21,5,1
468,1,1,2,2,3,27,23,34,34,4,0
474,1,1,2,2,4,18,15,29,23,3,6
481,1,1,2,2,6,21,20,30,29,1,1
535,2,1,2,2,2,21,14,20,16,7,4
586,1,1,2,2,2,15,11,26,18,4,8
677,2,1,1,1,5,13,11,21,20,2,1
721,1,1,1,2,2,15,12,15,14,3,1
735,2,1,1,1,3,13,13,13,11,0,2
743,2,1,1,1,5,20,19,17,15,1,2
768,1,1,1,2,4,28,26,34,33,2,1
787,1,1,1,1,2,20,16,17,17,4,0
797,2,1,1,1,1,18,17,21,16,1,5
828,2,1,2,2,6,30,28,32,26,2,6
850,1,1, , ,3,16,13,27,24,3,3
904,2,1,2,2,1,27,26,30,27,1,3
938,1,1,1,1,1,22,20,23,21,2,2
1012,1,1, , ,1,17,11,13,12,6,1
1051,2,1,1,1,3,22,22,27,18,0,9
1142,2,1,2,2,4,25,24,24,18,1,6
1168,1,1,1,1,1,19,14,22,14,5,8
1213,2,1,1,2,2,17,14,11,10,3,1
1293,1,1,2,1,2,15,11,25,22,4,3
1296,2,1,1,2,3,25,22,25,20,3,5
1325,1,1,2,2,2,23,17,25,25,6,0
1379,2,1,1,2,4,29,24,30,24,5,6
1395,1,1,1,1,2,13,10,32,31,3,1
1421,2,1,1,1,2,19,19,21,18,0,3
1446,2,1,2,2,4,21,16,19,11,5,8
1447,2,1,1,1,2,18,14,18,14,4,4
1453,1,1,2,1,4,27,26,25,22,1,3
33,2,2,2,2,2,23,18,26,13,5,13
84,2,2,1,1,6,19,19,24,11,0,13
140,2,2,2,2,4,21,20,21,20,1,1
149,2,2,2,2,5,27,26,34,33,1,1
222,2,2,2,2,4,27,20,16,13,7,3
228,2,2,2,2,4,26,24,27,24,2,3
320,1,2,2,1,2,14,10,19,14,4,5
335,1,2,1,1,3,19,17,28,25,2,3
415,2,2,2,2,4,19,15,26,21,4,5
432,2,2,2,2,3,17,13,14,12,4,2
467,1,2,2,1,3,25,22,26,25,3,1
479,2,2,1,1,2,20,19,25,18,1,7
524,1,2,1,2,1,19,18,20,17,1,3
553,1,2,1,1,3,25,20,29,24,5,5
602,2,2, , , ,21,13,18,18,8,0
626,1,2,2,2,5,24,23,29,25,1,4
659,2,2,2,1,4,18,10,23,8,8,15
668,2,2, ,2,3,23,20,30,14,3,16
766,1,2,1,2,3,18,18,29,29,0,0
792,2,2,1,1,1,14,10,11,10,4,1
823,2,2,1,2,5,26,22,24,17,4,7
919,2,2,2,2,7,21,20,25,23,1,2
920,1,2,1,2,4,16,12,25,22,4,3
959,2,2,1,2,7,20,18,32,16,2,16
973,1,2,1,1,4,18,15,20,16,3,4
983,2,2,2,1,3,22,21,33,21,1,12
991,2,2,1,2,3,23,18,27,22,5,5
1036,2,2,1,1,5,22,18,10,10,4,0
1229,2,2,2,2,4,28,20,29,17,8,12
1354,1,2,1,1,4,13,7,20,13,6,7
1481,2,2,1,1,1,20,16,16,13,4,3
1496,2,2,1,2,5,22,20,21,19,2,2
