pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
4,2,1,1,1,1,20,17,20,19,3,1
26,2,1,1,2,4,22,21,24,23,1,1
36,1,1,1,2,5,23,19,29,25,4,4
49,2,1,1,2,2,27,24,30,30,3,0
88,2,1,1,2,7,25,25,20,19,0,1
192,1,1,1,2,4,30,29,35,30,1,5
311,2,1,1,1,2,24,22,30,24,2,6
321,2,1,1,1,2,21,21,26,15,0,11
340,1,1,1,1,2,16,11,18,17,5,1
402,2,1,1,1,3,22,19,26,23,3,3
444,1,1,2,2,3,19,17,27,23,2,4
485,2,1,1,1,3,16,16,21,18,0,3
490,1,1,2,2, ,13,9,13,12,4,1
494,1,1,1,1,1,21,20,21,20,1,1
532,2,1,2,2,5,11,7,11,8,4,3
641,2,1,1,1,1,13,12,17,16,1,1
650,1,1,2,2,4,23,18,20,19,5,1
652,1,1,1,1,3,17,15,31,23,2,8
692,2,1,2,2,5,26,23,22,14,3,8
857,1,1,1,2,4,18,15,24,20,3,4
872,1,1,1,2,4,13,12,16,14,1,2
902,2,1,1,1,4,22,15,14,13,7,1
904,2,1,2,2,1,27,26,30,27,1,3
905,2,1,1,1,5,22,20,28,22,2,6
916,1,1,1,1, ,13,9,14,10,4,4
924,2,1,2,2,5,23,17,26,26,6,0
944,1,1,2,2,4,26,22,25,22,4,3
971,2,1,2,2,4,21,12,21,19,9,2
1002,1,1,1,1,4,26,21,33,27,5,6
1003,2,1,2,2,6,27,27,32,27,0,5
1007,1,1,1,1,2,25,23,29,28,2,1
1125,2,1,1,1,3,18,18,10,6,0,4
1166,1,1,1,2,3,21,20,33,31,1,2
1192,1,1,1,1,1,21,19,26,22,2,4
1213,2,1,1,2,2,17,14,11,10,3,1
1216,1,1,1,2,5,24,17,24,20,7,4
1234,2,1,1,2,2,23,20,23,17,3,6
1266,2,1,1,1,2,24,23,23,13,1,10
1310,2,1,1,1,2,17,16,20,7,1,13
1329,1,1,1,1,2,23,18,26,25,5,1
1338,2,1,1,2,3,20,18,25,24,2,1
1346,2,1,1,1, ,12,9,12,11,3,1
1382,2,1,1,1, ,24,22,23,22,2,1
1431,1,1,1,1,2,19,12,21,20,7,1
1455,2,1,2,2,4,24,20,23,21,4,2
1465,2,1,2,2,3,24,22,30,28,2,2
113,2,2,2,2,3,26,19,29,28,7,1
139,2,2,2,2,5,18,12,13,12,6,1
228,2,2,2,2,4,26,24,27,24,2,3
262,2,2,2,2,5,25,21,32,18,4,14
360,1,2,1,1,4,21,11,19,11,10,8
455,1,2,1,1,3,6,5,11,8,1,3
471,1,2,1,1,2,22,17,28,20,5,8
479,2,2,1,1,2,20,19,25,18,1,7
497,2,2,2,2,4,19,18,25,18,1,7
629,1,2,2,2,3,24,24,28,25,0,3
667,1,2,2,1,4,17,11,21,19,6,2
684,1,2,2,2,4,15,15,20,14,0,6
693,2,2,1,1, ,17,14,25,19,3,6
723,2,2,1,2,2,20,18,25,24,2,1
741,1,2,1,1,3,21,17,20,17,4,3
791,2,2,1,1,2,20,14,24,23,6,1
792,2,2,1,1,1,14,10,11,10,4,1
823,2,2,1,2,5,26,22,24,17,4,7
830,2,2,1,1,3,20,17,20,19,3,1
914,1,2,1,1,3,16,15,24,22,1,2
1107,1,2,1,2,2,24,20,24,20,4,4
1127,2,2,2,2,2,16,11,8,3,5,5
1182,2,2,1,2,2,27,21,33,23,6,10
1183,1,2, ,2, ,22,20,29,19,2,10
1261,2,2,2,1,3,25,21,20,20,4,0
1361,1,2,2,2,4,27,20,32,26,7,6
1387,2,2,1,2,3,21,20,26,22,1,4
1411,1,2,2,2,5,17,16,24,20,1,4
1424,2,2,2,2,4,27,25,20,19,2,1
1500,1,2,1,2,2,23,17,29,24,6,5
1507,1,2,2,2, ,25,21,29,22,4,7
