pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
1,2,1,1,2,2,14,11,14,13,3,1
37,2,1,1,1,1,14,13,14,12,1,2
42,1,1,2,2,1,24,23,23,11,1,12
57,2,1,2,1,5,20,17,18,11,3,7
64,1,1,2,2,6,21,16,27,23,5,4
91,1,1,2,2,5,25,22,28,25,3,3
96,2,1,2,2,4,23,23,21,20,0,1
160,1,1,2,2,4,24,21,27,11,3,16
224,2,1,2,2,7,30,30,26,25,0,1
226,1,1,1,1,2,22,19,31,31,3,0
240,1,1,2,2,3,27,25,29,25,2,4
275,1,1,2,2,2,22,11,26,20,11,6
277,1,1,2,2,4,23,18,30,23,5,7
315,1,1,2,1,2,21,17,31,31,4,0
343,2,1,1,1,3,21,21,16,14,0,2
348,2,1,1,1,3,23,22,28,28,1,0
351,2,1,2,2,4,14,13,12,10,1,2
358,2,1,2,1,3,19,18,15,15,1,0
397,2,1,1,1,3,21,20,28,26,1,2
423,2,1,2,1,7,17,17,18,14,0,4
447,1,1,2,1,3,16,13,18,14,3,4
508,2,1,1,2, ,15,15,16,14,0,2
526,2,1,1, ,2,19,9,23,13,10,10
535,2,1,2,2,2,21,14,20,16,7,4
549,1,1,2,1,2,20,17,18,14,3,4
593,2,1,1,2,7,26,24,25,21,2,4
598,2,1,1,1,5,22,18,20,10,4,10
624,2,1,2,1,2,28,25,29,26,3,3
627,2,1,1,2,2,19,18,21,20,1,1
650,1,1,2,2,4,23,18,20,19,5,1
694,1,1,1,1,2,14,7,17,14,7,3
697,2,1,1,1, ,19,19,20,19,0,1
814,2,1,1,1,3,19,14,12,6,5,6
872,1,1,1,2,4,13,12,16,14,1,2
891,1,1,1,2,3,17,13,18,15,4,3
904,2,1,2,2,1,27,26,30,27,1,3
933,2,1, , , ,25,21,20,17,4,3
944,1,1,2,2,4,26,22,25,22,4,3
951,1,1,1,1,3,27,24,34,34,3,0
1043,2,1,2,2,7,20,20,18,14,0,4
1085,1,1,1,2,2,18,17,19,13,1,6
1125,2,1,1,1,3,18,18,10,6,0,4
1146,2,1,2,1,3,23,21,22,15,2,7
1147,2,1,2,2,4,29,28,29,28,1,1
1159,2,1,2,2,3,15,10,8,8,5,0
1206,1,1,1,1,1,26,23,29,23,3,6
1237,2,1,1,1,2,21,16,19,12,5,7
1256,1,1,1,1,1,14,6,18,14,8,4
1260,2,1,1,1,1,19,16,18,17,3,1
1267,1,1,2,1,2,19,17,27,26,2,1
1279,2,1,1,2,1,20,19,16,14,1,2
1288,2,1,1,1,2,16,11,12,7,5,5
1336,2,1,1,1,2,18,17,14,14,1,0
1353,1,1,2,2,5,26,24,32,30,2,2
1455,2,1,2,2,4,24,20,23,21,4,2
1484,2,1,2,1,5,26,22,24,23,4,1
1485,1,1,2,2,1,21,21,30,29,0,1
1494,1,1,1,1,1,27,26,29,28,1,1
79,1,2,1,2,4,23,18,32,11,5,21
100,1,2,2,2,3,24,19,26,22,5,4
109,1,2,2,2,7,28,27,34,34,1,0
149,2,2,2,2,5,27,26,34,33,1,1
171,2,2,1,2,6,21,20,25,18,1,7
220,1,2,2,2,4,26,21,33,27,5,6
235,1,2,1,1,2,23,18,27,25,5,2
396,1,2,2,2,6,26,23,33,26,3,7
432,2,2,2,2,3,17,13,14,12,4,2
461,2,2,1,1,2,18,18,17,13,0,4
523,2,2,1,1,3,24,13,18,14,11,4
553,1,2,1,1,3,25,20,29,24,5,5
574,2,2,1,1,2,17,16,14,11,1,3
629,1,2,2,2,3,24,24,28,25,0,3
741,1,2,1,1,3,21,17,20,17,4,3
822,2,2,2,2,2,15,14,24,15,1,9
844,2,2,1,2,7,20,20,28,26,0,2
881,2,2,1,1,3,18,16,30,19,2,11
890,2,2,1,2,2,20,17,24,24,3,0
914,1,2,1,1,3,16,15,24,22,1,2
1097,1,2,2,1,2,25,20,30,29,5,1
1107,1,2,1,2,2,24,20,24,20,4,4
1122,2,2,2,2,4,24,23,30,25,1,5
1148,2,2,2,2,3,19,18,21,18,1,3
1281,2,2,2,2,7,29,28,28,25,1,3
1287,2,2,2,2,6,22,19,22,19,3,3
1387,2,2,1,2,3,21,20,26,22,1,4
1399,2,2,2,2,3,20,16,16,14,4,2
1468,2,2,1,2,2,22,16,20,20,6,0
1507,1,2,2,2, ,25,21,29,22,4,7
