pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
37,2,1,1,1,1,14,13,14,12,1,2
42,1,1,2,2,1,24,23,23,11,1,12
59,2,1,1,1,3,14,14,14,13,0,1
63,2,1,2,1,1,24,20,25,20,4,5
64,1,1,2,2,6,21,16,27,23,5,4
78,2,1,2,2,4,27,25,31,25,2,6
164,2,1,2,2,4,22,19,29,25,3,4
185,2,1, , , ,24,24,28,25,0,3
198,1,1,1,1,4,17,16,22,20,1,2
212,2,1,2,2,4,24,22,29,24,2,5
272,2,1,2,2,3,22,20,23,22,2,1
277,1,1,2,2,4,23,18,30,23,5,7
287,2,1,2,1,4,26,19,29,17,7,12
311,2,1,1,1,2,24,22,30,24,2,6
342,2,1,2,2,3,20,17,20,19,3,1
351,2,1,2,2,4,14,13,12,10,1,2
408,2,1,2,1,4,17,7,12,4,10,8
425,1,1,1,2,3,19,14,22,21,5,1
462,2,1,1,1,3,19,18,20,11,1,9
508,2,1,1,2, ,15,15,16,14,0,2
529,1,1,1,1,2,22,15,17,13,7,4
540,1,1,2,1,4,13,11,24,22,2,2
673,1,1,1,2,3,16,13,27,21,3,6
674,1,1,2,2,5,30,27,35,35,3,0
701,1,1,1,1,5,24,21,33,31,3,2
745,2,1,2,1,1,20,19,14,11,1,3
747,2,1,2,2, ,16,11,13,11,5,2
820,1,1,1,1,4,12,9,15,13,3,2
825,1,1,2,2,6,25,22,34,32,3,2
837,2,1,1,1,3,21,18,18,17,3,1
891,1,1,1,2,3,17,13,18,15,4,3
893,2,1,1,2,3,24,22,21,19,2,2
905,2,1,1,1,5,22,20,28,22,2,6
916,1,1,1,1, ,13,9,14,10,4,4
1124,1,1,2,1,2,21,17,21,12,4,9
1136,2,1,1,1,7,17,15,13,11,2,2
1176,2,1,1,1,2,20,19,19,14,1,5
1227,1,1,2,1,2,28,19,25,24,9,1
1310,2,1,1,1,2,17,16,20,7,1,13
1325,1,1,2,2,2,23,17,25,25,6,0
1331,1,1,2,2,7,21,19,28,27,2,1
1372,1,1,2,2,5,20,20,21,20,0,1
1375,2,1,1,2,2,20,18,20,20,2,0
1405,1,1,1,2,3,15,9,21,20,6,1
1446,2,1,2,2,4,21,16,19,11,5,8
1447,2,1,1,1,2,18,14,18,14,4,4
1456,1,1,2,2,5,29,24,35,34,5,1
48,1,2,2,2,5,24,20,28,27,4,1
61,2,2,1,2,3,27,23,26,22,4,4
149,2,2,2,2,5,27,26,34,33,1,1
207,2,2,1,2,3,28,26,28,25,2,3
228,2,2,2,2,4,26,24,27,24,2,3
274,2,2,1,1,1,22,17,17,11,5,6
393,2,2,2,2,4,19,19,16,14,0,2
406,2,2,1,1,2,22,22,29,19,0,10
417,1,2,2,1,1,25,25,28,28,0,0
442,2,2,1,1,3,22,21,17,10,1,7
471,1,2,1,1,2,22,17,28,20,5,8
568,2,2,2,2,4,22,19,22,20,3,2
592,2,2,2,2,7,28,26,31,25,2,6
605,1,2,2,1,2,24,16,29,26,8,3
629,1,2,2,2,3,24,24,28,25,0,3
631,2,2,1,1,2,21,16,22,16,5,6
679,2,2,2,1,3,24,22,22,20,2,2
685,2,2,2,2,1,19,14,30,15,5,15
727,2,2,2,2, ,20,18,25,15,2,10
764,2,2,1,1,1,13,11,17,11,2,6
766,1,2,1,2,3,18,18,29,29,0,0
841,2,2,2,1,3,28,21,31,24,7,7
844,2,2,1,2,7,20,20,28,26,0,2
920,1,2,1,2,4,16,12,25,22,4,3
992,1,2,1,2,4,18,16,20,18,2,2
993,2,2,1,1, ,20,18,22,20,2,2
1057,1,2,2,2,4,20,19,23,20,1,3
1097,1,2,2,1,2,25,20,30,29,5,1
1248,2,2,2,1, ,18,14,14,6,4,8
1300,2,2,2,2,5,24,21,24,22,3,2
1304,1,2,1,2,2,15,13,18,16,2,2
1332,1,2,2,2,6,21,9,32,18,12,14
