pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
16,1,1,2,2,5,28,27,31,28,1,3
151,2,1,1,1,4,24,20,20,20,4,0
178,2,1,2,2,5,26,25,29,24,1,5
185,2,1, , , ,24,24,28,25,0,3
215,1,1,2,1,3,21,19,24,12,2,12
236,2,1,2,1,4,30,30,25,25,0,0
245,2,1,1,2,4,30,28,29,28,2,1
281,1,1,2,1,4,24,20,25,24,4,1
384,2,1,2,2, ,24,21,25,20,3,5
429,1,1,1,1,3,21,20,28,27,1,1
477,2,1,1,2,3,23,21,32,25,2,7
485,2,1,1,1,3,16,16,21,18,0,3
499,1,1,1,1,4,16,15,32,29,1,3
519,1,1,1,1,1,17,12,17,6,5,11
522,2,1,2,2,7,19,19,21,20,0,1
526,2,1,1, ,2,19,9,23,13,10,10
529,1,1,1,1,2,22,15,17,13,7,4
577,2,1,1,1,3,22,21,22,20,1,2
593,2,1,1,2,7,26,24,25,21,2,4
599,1,1,1,1,2,18,18,33,32,0,1
647,2,1,1,1,1,9,7,13,12,2,1
653,2,1,2,2,5,14,12,19,17,2,2
707,1,1,2,2,3,25,21,32,29,4,3
747,2,1,2,2, ,16,11,13,11,5,2
779,1,1,2,2,2,23,21,27,19,2,8
851,1,1,1,1,1,23,20,25,20,3,5
859,2,1,1,2,2,21,20,25,22,1,3
896,2,1,2,1,4,24,24,25,24,0,1
901,1,1,1,1,3,14,14,20,18,0,2
902,2,1,1,1,4,22,15,14,13,7,1
913,1,1,1,2,4,23,19,30,29,4,1
916,1,1,1,1, ,13,9,14,10,4,4
933,2,1, , , ,25,21,20,17,4,3
939,1,1,1,1,2,18,16,25,22,2,3
1012,1,1, , ,1,17,11,13,12,6,1
1013,2,1,1,1,4,20,17,20,19,3,1
1041,2,1,1,1,4,25,24,26,22,1,4
1119,2,1,1,1,5,18,17,14,14,1,0
1147,2,1,2,2,4,29,28,29,28,1,1
1159,2,1,2,2,3,15,10,8,8,5,0
1174,2,1,1,1,4,20,19,21,20,1,1
1237,2,1,1,1,2,21,16,19,12,5,7
1247,2,1,1,2,7,19,17,28,21,2,7
1290,2,1,1,1,2,17,16,19,18,1,1
1301,2,1,1,1,2,17,15,21,17,2,4
1316,2,1,2,2,2,15,13,14,14,2,0
1323,1,1,1,1,4,26,24,27,23,2,4
1394,2,1, , ,2,29,29,33,31,0,2
1417,1,1,2,2,6,20,20,32,24,0,8
1503,1,1,1,2,4,18,16,23,22,2,1
100,1,2,2,2,3,24,19,26,22,5,4
108,1,2,2,2,4,23,18,27,21,5,6
161,2,2,1,2,3,28,24,25,20,4,5
235,1,2,1,1,2,23,18,27,25,5,2
331,1,2,2,1, ,18,13,24,23,5,1
375,2,2,1,1, ,23,21,24,14,2,10
377,2,2,1,1,1,23,20,13,7,3,6
380,2,2,1,2,3,30,24,21,19,6,2
385,1,2,1,2,4,27,23,32,29,4,3
450,2,2,2,2, ,26,21,28,20,5,8
555,1,2,2,2,4,19,18,21,19,1,2
614,2,2,1,1,1,18,18,20,12,0,8
631,2,2,1,1,2,21,16,22,16,5,6
636,2,2,2,1,1,23,19,22,14,4,8
637,1,2,2,2, ,22,19,23,19,3,4
643,1,2,1,2,5,21,21,20,19,0,1
816,1,2,1,1,2,12,12,27,17,0,10
823,2,2,1,2,5,26,22,24,17,4,7
844,2,2,1,2,7,20,20,28,26,0,2
858,2,2,1,1,3,26,24,28,25,2,3
867,1,2,1,2,2,13,13,20,12,0,8
877,2,2,1,1,3,21,19,21,18,2,3
983,2,2,2,1,3,22,21,33,21,1,12
1011,1,2,2,1,2,24,20,30,21,4,9
1022,1,2,1,1,7,24,18,27,20,6,7
1049,1,2, , , ,20,12,30,21,8,9
1123,1,2,2,2,4,22,22,26,23,0,3
1172,1,2,1,1,4,17,14,24,22,3,2
1193,2,2,2,2, ,16,11,14,12,5,2
1281,2,2,2,2,7,29,28,28,25,1,3
1334,2,2,1,1,2,21,18,20,18,3,2
1341,1,2,2,2,5,22,19,25,25,3,0
1359,1,2,2,2,4,24,19,31,28,5,3
1361,1,2,2,2,4,27,20,32,26,7,6
1429,2,2,2,2,4,16,12,19,17,4,2
1497,1,2,1,2,4,23,14,33,23,9,10
