pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2,Eng_Dif,Math_Dif
4,2,1,1,1,1,20,17,20,19,3,1
49,2,1,1,2,2,27,24,30,30,3,0
50,2,1,1,1,3,22,21,14,7,1,7
68,1,1,1,1,1,26,25,30,23,1,7
72,2,1,2,2,5,27,19,29,24,8,5
74,1,1,2,1,2,19,14,29,25,5,4
80,1,1,2,2,4,17,14,21,20,3,1
106,1,1,2,2,4,22,22,26,22,0,4
157,1,1,2,2,7,30,30,34,34,0,0
185,2,1, , , ,24,24,28,25,0,3
215,1,1,2,1,3,21,19,24,12,2,12
266,2,1,1,1,1,24,24,27,23,0,4
291,2,1,1,2,3,19,17,20,19,2,1
330,2,1,2,2, ,20,17,13,11,3,2
338,1,1,2,2,1,27,27,34,24,0,10
382,1,1,2,2,5,24,23,34,32,1,2
408,2,1,2,1,4,17,7,12,4,10,8
427,2,1,2,2,6,20,20,25,25,0,0
433,2,1,2,2,5,27,21,22,22,6,0
438,2,1,1,1,2,15,12,20,18,3,2
447,1,1,2,1,3,16,13,18,14,3,4
462,2,1,1,1,3,19,18,20,11,1,9
472,1,1,2,2,5,27,25,32,32,2,0
481,1,1,2,2,6,21,20,30,29,1,1
487,2,1,1,2,2,25,22,23,17,3,6
493,1,1,1,1,2,16,15,16,11,1,5
511,1,1,1,1,1,23,17,22,18,6,4
522,2,1,2,2,7,19,19,21,20,0,1
540,1,1,2,1,4,13,11,24,22,2,2
562,2,1,2,2,4,21,20,20,14,1,6
633,1,1,1,1,2,16,14,24,19,2,5
801,2,1,1,2,3,26,24,25,17,2,8
821,1,1,1,1,2,16,13,18,17,3,1
832,1,1,1,2,3,20,19,24,23,1,1
839,2,1,2,2,3,25,25,22,19,0,3
842,2,1,1,1,2,15,11,19,12,4,7
851,1,1,1,1,1,23,20,25,20,3,5
894,2,1,2,2, ,25,21,18,18,4,0
930,2,1,2,1,4,14,10,13,11,4,2
939,1,1,1,1,2,18,16,25,22,2,3
944,1,1,2,2,4,26,22,25,22,4,3
974,2,1,2,1,1,17,15,17,14,2,3
1005,2,1,1,1,1,16,16,21,8,0,13
1012,1,1, , ,1,17,11,13,12,6,1
1029,1,1,2,2,4,14,14,25,21,0,4
1051,2,1,1,1,3,22,22,27,18,0,9
1059,1,1,1,1,2,13,9,11,10,4,1
1085,1,1,1,2,2,18,17,19,13,1,6
1133,2,1,2,1,2,19,18,18,13,1,5
1142,2,1,2,2,4,25,24,24,18,1,6
1147,2,1,2,2,4,29,28,29,28,1,1
1152,1,1,1,1,2,17,16,23,19,1,4
1184,1,1,1,1,1,18,15,18,16,3,2
1192,1,1,1,1,1,21,19,26,22,2,4
1218,2,1,2,2,7,16,14,25,18,2,7
1307,2,1,1,1,2,26,17,20,13,9,7
1384,2,1,1,1,2,19,19,14,13,0,1
1402,2,1,2,1,3,23,22,17,17,1,0
1439,2,1,2,2,7,22,19,29,23,3,6
1461,1,1,1,1,1,22,21,27,25,1,2
1504,2,1,2,2,3,18,17,12,7,1,5
7,1,2,1,1,4,9,8,19,16,1,3
84,2,2,1,1,6,19,19,24,11,0,13
105,1,2,2,2,4,25,24,32,30,1,2
295,2,2,1,1,3,26,12,24,4,14,20
316,1,2,1,1,2,20,15,29,14,5,15
411,2,2,1,2,7,19,15,23,20,4,3
439,1,2,1,1,2,26,24,33,30,2,3
467,1,2,2,1,3,25,22,26,25,3,1
588,2,2,1,1,1,19,17,24,18,2,6
602,2,2, , , ,21,13,18,18,8,0
614,2,2,1,1,1,18,18,20,12,0,8
658,1,2,1,1,4,21,15,28,13,6,15
806,2,2,1,2, ,25,22,32,30,3,2
844,2,2,1,2,7,20,20,28,26,0,2
867,1,2,1,2,2,13,13,20,12,0,8
953,1,2,2,2,7,27,25,35,31,2,4
992,1,2,1,2,4,18,16,20,18,2,2
1036,2,2,1,1,5,22,18,10,10,4,0
1071,1,2,2,2,5,14,11,26,24,3,2
1074,2,2,1,2,4,19,18,26,21,1,5
1114,2,2,1,2,2,18,11,20,10,7,10
1164,1,2,1,1,4,15,9,20,17,6,3
1173,2,2,1,1,2,21,19,18,17,2,1
1334,2,2,1,1,2,21,18,20,18,3,2
1354,1,2,1,1,4,13,7,20,13,6,7
1391,1,2,1,2, ,16,13,19,17,3,2
1505,2,2,1,2,2,23,20,25,14,3,11
