wage1,wage2,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,816.3955058,40,93,35,2,11,31,1,1,1,2,2,2
808,848.2810164,50,119,41,3,11,37,1,1,1,2,2,2
562,611.6488874,40,74,27,2,14,34,1,1,3,1,1,1
1154,1203.146562,45,111,37,3,13,36,1,0,2,3,3,3
1000,1087.006645,40,95,44,2,16,36,1,1,1,2,2,2
930,1021.898858,43,132,44,3,8,38,1,0,1,2,2,2
1360,1399.099994,45,109,39,3,6,36,1,1,3,3,3,3
1615,1633.116493,50,113,49,3,10,36,1,1,2,3,3,3
1053,1138.926676,38,114,35,3,12,32,1,1,0,2,2,2
1188,1224.289131,40,93,40,3,16,35,1,1,2,3,3,3
800,858.1414973,40,115,39,3,11,35,1,1,0,1,2,2
635,659.2999003,40,128,35,3,8,36,0,1,2,1,1,1
1000,1082.37102,40,103,40,2,17,34,1,1,1,2,2,2
1779,1878.632381,40,132,42,3,8,32,1,1,1,3,3,3
782,862.4648092,40,92,24,3,9,31,1,1,3,2,2,2
1274,1277.437063,40,106,35,3,11,31,1,1,0,3,3,3
692,735.8453692,40,108,48,2,21,38,1,1,3,1,1,1
1027,1124.531451,27,100,40,3,12,38,1,1,3,2,2,2
981,1062.145985,40,122,41,3,9,35,0,1,3,2,2,2
770,808.097624,40,105,34,3,7,30,1,1,3,2,2,2
1000,1059.002266,50,104,36,3,11,30,1,1,1,2,2,2
462,499.9904889,40,112,35,2,11,29,1,1,3,1,1,1
769,791.4329216,55,120,49,3,8,32,0,1,1,2,2,2
875,898.3183618,50,124,40,3,9,31,0,0,2,2,2,2
1452,1466.614211,45,115,45,3,1,30,1,1,3,3,3,3
1151,1220.226406,40,98,34,2,12,29,1,1,3,3,3,3
840,924.6266294,50,96,34,2,18,35,1,1,2,2,2,2
1455,1519.88559,40,109,44,3,8,36,1,1,1,3,3,3
2310,2351.767535,40,114,55,3,12,38,1,1,2,3,3,3
855,869.3482838,45,119,45,3,11,32,1,1,3,2,2,2
1040,1130.924368,40,115,49,3,8,35,1,1,3,2,2,2
1000,1064.734964,50,97,45,2,17,36,1,1,1,2,2,2
675,731.7751794,40,105,27,3,8,31,1,0,3,1,1,1
1100,1127.433142,37,100,32,2,14,30,1,1,1,3,3,3
996,1044.78652,50,114,41,2,5,31,1,1,2,2,2,2
732,783.4470649,40,73,28,2,17,36,1,1,3,1,1,1
1694,1732.749071,30,113,30,3,9,29,0,1,3,3,3,3
686,769.5971966,55,106,38,2,15,36,1,1,3,1,1,1
832,872.2820456,50,104,30,3,4,30,1,1,1,2,2,2
2500,2533.20575,40,95,51,3,12,36,1,1,3,3,3,3
1186,1242.857618,30,91,41,3,8,33,1,1,1,3,3,3
